Accession/Planting,Most Recent Inventory Date,Status,Inventory Note,Most Recent Measurement Date,Height,Height Unit,Measurement Note,Inventory Latitude,Inventory Longitude
2012-0312-01-19,2/26/2020 13:37,Alive,"Saguaro Inventory 2020, VN, 2/26/20.",2/26/2020 13:37,19.8,feet,"Measured height during Saguaro Inventory 2020, VN, 2/26/20.",33.4588314,-111.9444173
2012-0312-01-2,2/26/2020 13:36,Alive,"Saguaro Inventory 2020, VN, 2/26/20.",2/26/2020 13:36,14.9,feet,"Measured height during Saguaro Inventory 2020, VN, 2/26/20.",33.4588526,-111.9436901
2012-0312-01-20,2/26/2020 13:37,Alive,"Saguaro Inventory 2020, VN, 2/26/20.",2/26/2020 13:37,17.6,feet,"Measured height during Saguaro Inventory 2020, VN, 2/26/20.",33.458729,-111.9445068
2012-0312-01-21,2/26/2020 13:37,Alive,"Saguaro Inventory 2020, VN, 2/26/20.",2/26/2020 13:37,20,feet,"Measured height during Saguaro Inventory 2020, VN, 2/26/20.",33.4586868,-111.9445397
2012-0312-01-22,2/26/2020 13:37,Alive,"Saguaro Inventory 2020, VN, 2/26/20.",2/26/2020 13:37,19.4,feet,"Measured height during Saguaro Inventory 2020, VN, 2/26/20.",33.4587564,-111.9445494
2012-0312-01-23,2/26/2020 13:37,Alive,"Saguaro Inventory 2020, VN, 2/26/20.",2/26/2020 13:37,16.3,feet,"Measured height during Saguaro Inventory 2020, VN, 2/26/20.",33.4588,-111.9446131
2012-0312-01-24,2/26/2020 13:37,Alive,"Saguaro Inventory 2020, VN, 2/26/20.",2/26/2020 13:37,14.5,feet,"Measured height during Saguaro Inventory 2020, VN, 2/26/20.",33.4588941,-111.9445944
2012-0312-01-25,2/26/2020 13:37,Alive,"Saguaro Inventory 2020, VN, 2/26/20.",2/26/2020 13:37,23.5,feet,"Measured height during Saguaro Inventory 2020, VN, 2/26/20.",33.4585931,-111.9448189
2012-0312-01-26,2/26/2020 13:37,Alive,"Saguaro Inventory 2020, VN, 2/26/20.",2/26/2020 13:37,19.1,feet,"Measured height during Saguaro Inventory 2020, VN, 2/26/20.",33.4585626,-111.9447022
2012-0312-01-27,2/26/2020 13:47,Alive,"Saguaro Inventory 2020, VN, 2/26/20.",2/26/2020 13:47,20.2,feet,"Measured height during Saguaro Inventory 2020, VN, 2/26/20.",33.4587565,-111.9447696
2012-0312-01-28,2/26/2020 13:47,Alive,"Saguaro Inventory 2020, VN, 2/26/20.",2/26/2020 13:47,15.2,feet,"Measured height during Saguaro Inventory 2020, VN, 2/26/20.",33.4587914,-111.9448217
2012-0312-01-3,2/26/2020 13:36,Alive,"Saguaro Inventory 2020, VN, 2/26/20.",2/26/2020 13:36,12.4,feet,"Measured height during Saguaro Inventory 2020, VN, 2/26/20.",33.4589032,-111.9439323
2012-0312-01-30,2/26/2020 13:47,Alive,"Saguaro Inventory 2020, VN, 2/26/20.",2/26/2020 13:47,19.9,feet,"Measured height during Saguaro Inventory 2020, VN, 2/26/20.",33.4589449,-111.9448026
2012-0312-01-31,2/26/2020 13:47,Alive,"Saguaro Inventory 2020, VN, 2/26/20.",2/26/2020 13:47,14.6,feet,"Measured height during Saguaro Inventory 2020, VN, 2/26/20.",33.4589926,-111.9448166
2012-0312-01-32,2/26/2020 13:47,Alive,"Saguaro Inventory 2020, VN, 2/26/20.",2/26/2020 13:47,17.9,feet,"Measured height during Saguaro Inventory 2020, VN, 2/26/20.",33.4589323,-111.9447322
2012-0312-01-33,2/26/2020 13:47,Alive,"Saguaro Inventory 2020, VN, 2/26/20.",2/26/2020 13:47,17.8,feet,"Measured height during Saguaro Inventory 2020, VN, 2/26/20.",33.4590939,-111.9447769
2012-0312-01-34,2/26/2020 13:47,Alive,"Saguaro Inventory 2020, VN, 2/26/20.",2/26/2020 13:47,17.5,feet,"Measured height during Saguaro Inventory 2020, VN, 2/26/20.",33.4590992,-111.9447466
